,product,brand,type,image,highlight,description,spec,delivery,related
https://bot-hive.com/product/onrobot-vgc10,['OnRobot - VGC10'],['OnRobot'],['Multi Vacuum Gripper'],['https://files.bot-hive.com/images/bothive/vg_mini_b_3_2_5d0de320-f9a6-11ea-bca8-2d12c20e02f2.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': 'Beginner'}","['Product Description\nVGC10 – COMPACT, CUSTOMIZABLE ELECTRICAL VACUUM GRIPPER\nThe VGC10 electrical compact vacuum gripper has unlimited customization possibilities. It has changeable suction cup options too for nearly any task need. Smaller than the VG10, the VGC10 can fit into tight environments to extend your automation possibilities. And at half the weight of the VG10 but with the same payload, the VGC10 can lift small, odd-shaped, and heavy objects even with a smaller robot arm. The VGC10 features two independently controlled air channels that allow it to act as a dual gripper with pick-up and release in the same action, further increasing efficiency and reducing cycle time. With no compressor or air supply needed, this compact electrical gripper is easy to move, and simple programming makes it quick and easy to redeploy for greater production flexibility. ']","{'Payload': '15kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 814kg', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/onrobot-vg10', '1': 'https://bot-hive.com/product/coval-cvgl-series', '2': 'https://bot-hive.com/product/coval-csgs-series', '3': 'https://bot-hive.com/product/schmalz-spz-1'}"
https://bot-hive.com/product/kuka-kr-cybertech-kr-8-r2010-2,['KUKA - KR CYBERTECH KR 8 R2010-2'],['Kuka UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/download-17_29381140-d248-11ea-88bc-415eacca2ff2.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nThe industrial robots of the KR CYBERTECH family represent the world’s largest range of models in the low payload category with the greatest power density. They are ideally suited to space-saving cell concepts and provide top performance – with particularly low follow-up costs. \nThe powerful multi-function robots of the KR CYBERTECH series are specialized in handling task: for handling large components, machining, assembly, palletizing and arc welding. They can be controlled with the KR C4 or KR C4 extended.\nA key new feature of the KR CYBERTECH series is the even more compact design of the industrial robots. This enables you to benefit from the greater integration density and reduced disruptive contours. Choose the right industrial robot for every task from the wide-ranging portfolio.']","{'Payload': '9.8kg', 'Reach': ' 2013cm', 'Axis': ' 6', 'Weight': ' 260kg', 'Repeatability': ' 0.04mm', 'Speed': ' 342.5mm/s'}",['Delivery Times: 4 weeks'],"{'0': 'https://bot-hive.com/product/kuka-kr-cybertech-22-r1610-2', '1': 'https://bot-hive.com/product/kuka-kr-470-2-pa', '2': 'https://bot-hive.com/product/kuka-kr-cybertech-kr-16-r1610-2', '3': 'https://bot-hive.com/product/kuka-kr-cybertech-nano-kr-10-r1420'}"
https://bot-hive.com/product/maxbotix-mb1033-hrlv-maxsonar-ez3,['MaxBotix - MB1033 HRLV-MaxSonar-EZ3'],['MaxBotix'],"['LIDAR, Laser Scanners & Rangefinders']",['https://files.bot-hive.com/images/bothive/mb1023-hrlv-ez-ultrasonic-range-finder-194x194_a8f123b0-620b-11eb-8f5a-2fa2883a66ed.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nFor Autonomous Navigation and Obstacle Avoidance\nHRLV-MaxSonar-EZ ultrasonic rangefinders offer 1mm resolution, 2.5-5.5VDC operation, temperature compensation, automatic calibration, high accuracy, and stable operation in multi-sensor environments. The output options for this ultrasonic sensor line are pulse-width, analog voltage, and a choice of asynchronous RS232 or TTL serial.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",[],"{'0': 'https://bot-hive.com/product/maxbotix-mb1023-hrlv-maxsonar-ez2', '1': 'https://bot-hive.com/product/maxbotix-mb1003-hrlv-maxsonar-ez0', '2': 'https://bot-hive.com/product/maxbotix-mb1013-hrlv-maxsonar-ez1', '3': 'https://bot-hive.com/product/maxbotix-mb1240-xl-maxsonar-ez4'}"
https://bot-hive.com/product/roeq-tms-c300-ext,['ROEQ - TMS-C300 Ext'],['ROEQ'],['Mover'],['https://files.bot-hive.com/images/bothive/c18e782bc942682d9a0ccca3410f4b05cf8b8685_55edc720-3869-11eb-96e3-cb28005cac76.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nTMS-C300 Ext is designed to support internal transport of pallets, skids, boxes, etc. without compromising safety. The extended top module means you have access to the emergency stop when handling/transporting/carrying larger goods. Locking bolts on the sides engage with the cart. Rails for carts are optional.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",[],"{'0': 'https://bot-hive.com/product/roeq-cart300', '1': 'https://bot-hive.com/product/roeq-s-cart300-1', '2': 'https://bot-hive.com/product/roeq-tmc300-ext', '3': 'https://bot-hive.com/product/roeq-tmc300'}"
https://bot-hive.com/product/schunk-pgn-plus-200-2-as,['Schunk - PGN-Plus-200-2-AS'],['Schunk Intec Ltd'],['2 Finger Gripper'],['https://files.bot-hive.com/images/bothive/csm_im0000091_3e0f02b47a_fb0f7b00-e868-11ea-bf04-c79418ec3294.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nUniversal 2-finger parallel gripper with a high gripping force and high maximum moments due to the use of a multi-tooth guidance.\nOptimal standard solution for many fields of task. For universal use in clean to slightly dirty environments. Special versions available for dirty environments. '],"{'Payload': '23.5kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 7.5kg', 'Repeatability': ' 0.02mm', 'Speed': ' --'}","['Delivery Times: 1 week', 'Price:\n£££']","{'0': 'https://bot-hive.com/product/schunk-pgn-plus-p-50-1-as', '1': 'https://bot-hive.com/product/schunk-pgn-plus-300-2-is', '2': 'https://bot-hive.com/product/schunk-pgn-plus-300-2-as', '3': 'https://bot-hive.com/product/schunk-pgn-plus-50-1-1'}"
https://bot-hive.com/product/fanuc-m-710ic70t-1,['Fanuc - M-710iC/70T'],['FANUC UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/int-ro-pr-m71070t-r-1_f5be6de0-cd7f-11ea-b4d1-b96fa8431032.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nThe slim wrist, small footprint robot for medium payloads\nThis innovative series of lightweight robots is designed for handling task involving medium payloads from 12 to 70 kg. Featuring a slim wrist, rigid arm and small footprint, M-710 series robots are suitable for a wide range of task and come with a reach of up to 3.1 m. High axis speeds make this series extremely fast. They also boast excellent payload capacities and inertia, with all the models capable of covering a diverse range of task.']","{'Payload': '70kg', 'Reach': ' 1900cm', 'Axis': ' 6', 'Weight': ' 410kg', 'Repeatability': ' 0.07mm', 'Speed': ' 152.5mm/s'}",[],"{'0': 'https://bot-hive.com/product/fanuc-lr-mate-200id7wp', '1': 'https://bot-hive.com/product/fanuc-m-10ia10m', '2': 'https://bot-hive.com/product/fanuc-m-710ic50e', '3': 'https://bot-hive.com/product/fanuc-m-410ib140h'}"
https://bot-hive.com/product/siasun-gcr20-1100-1,['Siasun - GCR20-1100'],['Siasun'],['Collaborative Robots'],['https://files.bot-hive.com/images/bothive/gcr20-1_94eed760-c794-11eb-87e3-29122f0cc7f8.png?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '50', 'Servicing (Months)': '12', 'Programming Level': 'Beginner'}","['Product Description\nGCR20-1100 Collaborative Robot is a general collaborative robot with the payload up to 20KG, meets your demands for both safety and high payload. A robot easy-to-use, with benefits of low power consumption and fast deployment.']","{'Payload': '20kg', 'Reach': ' 1100cm', 'Axis': ' 6', 'Weight': ' 55kg', 'Repeatability': ' 0.05mm', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/siasun-scr5', '1': 'https://bot-hive.com/product/siasun-gcr5-910', '2': 'https://bot-hive.com/product/siasun-scr3', '3': 'https://bot-hive.com/product/siasun-gcr14-1400'}"
https://bot-hive.com/product/octinion-curion,['Octinion - CURION'],['Octinion'],['Agricultural Robots'],['https://files.bot-hive.com/images/bothive/1549277667_b2a13f50-ff2b-11ea-9542-d7cacbdced88.jpeg?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '1000', 'Servicing (Months)': '5', 'Programming Level': 'Beginner'}","[""Product Description\nScouting implement \nOur scouting implement Curion monitors the state of your crop and provides data on ripeness categories. It's the ideal solution for high quality harvest forecasting.""]","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/octinion-fluxion', '1': 'https://bot-hive.com/product/octinion-rubion', '2': 'https://bot-hive.com/product/octinion-lumion', '3': 'https://bot-hive.com/product/octinion-titanion'}"
https://bot-hive.com/product/octinion-rubion,['Octinion - RUBION'],['Octinion'],['Agricultural Robots'],['https://files.bot-hive.com/images/bothive/1549277824_a1ae2cf0-ff29-11ea-84b5-a5156cf1b8b7.jpeg?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '1000', 'Servicing (Months)': '5', 'Programming Level': 'Beginner'}","['Product Description\nStrawberry picking robot\nImagine your greenhouse. Robots drive back and forth. Punnett filled with perfectly ripe strawberries sorted according to the market needs are cooled and carried away immediately after picking. In the meanwhile, you have a perfect prediction of next week’s harvest. You no longer need to worry about finding the right people but you can focus on tomorrow. The future starts now.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/octinion-fluxion', '1': 'https://bot-hive.com/product/octinion-curion', '2': 'https://bot-hive.com/product/octinion-lumion', '3': 'https://bot-hive.com/product/octinion-titanion'}"
https://bot-hive.com/product/nao-oz-weeding-robot,['NAÏO - OZ Weeding Robot'],['Naïo Technologies'],['Agricultural Robots'],['https://files.bot-hive.com/images/bothive/oz_outline-e1458148651777_72d93990-fd6e-11ea-a7c1-57cf03637b39.jpeg?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '1000', 'Servicing (Months)': '5', 'Programming Level': 'Beginner'}","['Product Description\nThe Oz weeding robot helps you during weeding and hoeing chores in order to increase your profitability while respecting the environment. It is designed to improve working conditions and reduce your daily workload. Oz is entirely autonomous but you can also guide it to go wherever you need. Learn everything you need to know about Oz by scrolling down this page or click on the video to see Oz in action.\nOz is an autonomous weeding robot. It works all by itself, without supervision, to free your hands and liberate your mind. Oz holds three different operating modes to cater to your every need.']","{'Payload': '90kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 110kg', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/nao-ted-vineyard-weeding-robot', '1': 'https://bot-hive.com/product/nao-dino-autonomous-vegetable-weeding-robot', '2': 'https://bot-hive.com/product/farmbot-genesis-xl-v15', '3': 'https://bot-hive.com/product/agrobot-bug-vacuum'}"
https://bot-hive.com/product/neura-robotics-lara-5,['NEURA Robotics - LARA 5'],['NEURA Robotics'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/web_308759-1024x786_3b407370-dd94-11eb-9e0f-2ff075c80613.jpeg?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '500', 'Servicing (Months)': '5', 'Programming Level': 'Beginner'}","['Product Description\nLARA® defines a new level of lightweight design and industrial performance at low costs\nWith a high industrial performance in terms of speed, precision, and protection, coming as a cost-effective solution, LARA® is the perfect solution for SMEs to get a first experience in the world of collaborative industrial robots. Our own developed control systems and intuitive user interface allow a seamless integration of LARA® into any production site. The robust design and high performance enable LARA® to be used for applications which are not feasible for other collaborative robots, while still having the advantage of being a robot which can be easily used by everyone – beginners and experts.']","{'Payload': '5kg', 'Reach': ' 800cm', 'Axis': ' 6', 'Weight': ' 24kg', 'Repeatability': ' 0.002mm', 'Speed': ' 186.67mm/s'}","['Delivery Times: 4 weeks', 'Shipped from: DE']","{'0': 'https://bot-hive.com/product/neura-robotics-lara-10', '1': 'https://bot-hive.com/product/okura-ai1800-5', '2': 'https://bot-hive.com/product/kuka-kr-agilus-6-r900-ex', '3': 'https://bot-hive.com/product/kuka-kr-quantec-120-r2700-2'}"
https://bot-hive.com/product/neura-robotics-maira,['NEURA Robotics - MAiRA'],['NEURA Robotics'],['Collaborative Robots'],['https://files.bot-hive.com/images/bothive/maira-cobot-01_4e38ef90-dd92-11eb-8bfe-2f630f98e317.jpeg?d=232x193&c=contain'],"{'Launched in': '2019', 'Units Sold': '500', 'Servicing (Months)': '5', 'Programming Level': 'Beginner'}",['Product Description\nMAiRA® is the first truly collaborative robot\nWith fully integrated novel sensors and an unprecedented integration of artificial intelligence in control systems and task MAiRA® is leading a new era of robots. The robust and rigid design combines the performance of a high-end machine with easy programming and infinite possibilities for interaction – both for beginners and experts. MAiRA® tears down the boundaries between humans and machines and brings them closer together for good.'],"{'Payload': '15kg', 'Reach': ' 1400cm', 'Axis': ' 7', 'Weight': ' 51.5kg', 'Repeatability': ' 0.01mm', 'Speed': ' 185.71mm/s'}","['Delivery Times: 4 weeks', 'Shipped from: DE']","{'0': 'https://bot-hive.com/product/elephant-robotics-mycobot-1', '1': 'https://bot-hive.com/product/kuka-lbr-iiwa-7-r800-10', '2': 'https://bot-hive.com/product/franka-emika-panda', '3': 'https://bot-hive.com/product/denso-cobotta'}"
https://bot-hive.com/product/olympus-control-integrated-conveyor-top,['Olympus Control - Integrated Conveyor Top'],['Olympus Controls'],['Mobile Robot Conveyor'],['https://files.bot-hive.com/images/bothive/abd167295cda1e980e3d0757312b1c61d7b47962_1b0a9d60-3484-11eb-b157-8f88d030151c.jpeg?d=232x193&c=contain'],"{'Launched in': '2020', 'Units Sold': '500', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nConveyor Tops allow the mobile robot to take assets from location to location. This solution can accept product manually or automatically to and from another conveyor. Supported MiR robots are MiR100 and MiR200.'],"{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Shipped from: US'],"{'0': 'https://bot-hive.com/product/roeq-tr500-reseller', '1': 'https://bot-hive.com/product/roeq-tr125-reseller-1', '2': 'https://bot-hive.com/product/omni-automation-tmrc', '3': 'https://bot-hive.com/product/roeq-tr125-auto-reseller'}"
https://bot-hive.com/product/vansichen-robottrack-at35-w,['Vansichen - Robottrack AT35-W'],['Vansichen Linear Technology'],['Robot Tracks'],['https://files.bot-hive.com/images/bothive/at35-w_6e369150-db3d-11eb-a074-15465fc8f327.jpeg?d=232x193&c=cover'],"{'Launched in': '2016', 'Units Sold': '1000', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nRobottracks from Vansichen Linear Technology widen the working area and ensure accurate linear movement of your robots. We build the basic structure, including the drive. With many years of experience, which has seen us deliver more than 700 projects, we can offer a solution for all your task. Robottracks from Vansichen are for all task: handling, welding, cleanroom, etc.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Shipped from: BE'],"{'0': 'https://bot-hive.com/product/vansichen-robottrack-ft55-fl', '1': 'https://bot-hive.com/product/vansichen-robottrack-at35-f', '2': 'https://bot-hive.com/product/vansichen-robottrack-ut25', '3': 'https://bot-hive.com/product/vansichen-robottrack-ft45-co'}"
